,Country,Year,variable,value
0,AD,1989,Male 0-4,0.0
1,AD,1990,Male 0-4,0.0
2,AD,1991,Male 0-4,0.0
3,AD,1992,Male 0-4,0.0
4,AD,1993,Male 0-4,0.0
5,AD,1994,Male 0-4,0.0
6,AD,1996,Male 0-4,0.0
7,AD,1997,Male 0-4,0.0
8,AD,1998,Male 0-4,0.0
9,AD,1999,Male 0-4,0.0
10,AD,2000,Male 0-4,0.0
11,AD,2001,Male 0-4,0.0
12,AD,2002,Male 0-4,0.0
13,AD,2003,Male 0-4,0.0
14,AD,2004,Male 0-4,0.0
15,AD,2005,Male 0-4,0.0
16,AD,2006,Male 0-4,0.0
17,AD,2007,Male 0-4,0.0
18,AD,2008,Male 0-4,0.0
19,AE,1980,Male 0-4,0.0
20,AE,1981,Male 0-4,0.0
21,AE,1982,Male 0-4,0.0
22,AE,1983,Male 0-4,0.0
23,AE,1984,Male 0-4,0.0
24,AE,1985,Male 0-4,0.0
25,AE,1986,Male 0-4,0.0
26,AE,1987,Male 0-4,0.0
27,AE,1988,Male 0-4,0.0
28,AE,1989,Male 0-4,0.0
29,AE,1990,Male 0-4,0.0
30,AE,1991,Male 0-4,0.0
31,AE,1992,Male 0-4,0.0
32,AE,1994,Male 0-4,0.0
33,AE,1996,Male 0-4,0.0
34,AE,1998,Male 0-4,0.0
35,AE,1999,Male 0-4,0.0
36,AE,2000,Male 0-4,0.0
37,AE,2001,Male 0-4,0.0
38,AE,2002,Male 0-4,0.0
39,AE,2003,Male 0-4,0.0
40,AE,2004,Male 0-4,0.0
41,AE,2005,Male 0-4,0.0
42,AE,2006,Male 0-4,0.0
43,AE,2007,Male 0-4,0.0
44,AE,2008,Male 0-4,0.0
45,AF,1980,Male 0-4,0.0
46,AF,1981,Male 0-4,0.0
47,AF,1982,Male 0-4,0.0
48,AF,1983,Male 0-4,0.0
49,AF,1984,Male 0-4,0.0
50,AF,1985,Male 0-4,0.0
51,AF,1986,Male 0-4,0.0
52,AF,1987,Male 0-4,0.0
53,AF,1988,Male 0-4,0.0
54,AF,1989,Male 0-4,0.0
55,AF,1990,Male 0-4,0.0
56,AF,1991,Male 0-4,0.0
57,AF,1997,Male 0-4,0.0
58,AF,1998,Male 0-4,0.0
59,AF,1999,Male 0-4,0.0
60,AF,2000,Male 0-4,0.0
61,AF,2001,Male 0-4,0.0
62,AF,2002,Male 0-4,0.0
63,AF,2003,Male 0-4,0.0
64,AF,2004,Male 0-4,0.0
65,AF,2005,Male 0-4,0.0
66,AF,2006,Male 0-4,0.0
67,AF,2007,Male 0-4,0.0
68,AF,2008,Male 0-4,0.0
69,AG,1980,Male 0-4,0.0
70,AG,1981,Male 0-4,0.0
71,AG,1982,Male 0-4,0.0
72,AG,1983,Male 0-4,0.0
73,AG,1984,Male 0-4,0.0
74,AG,1985,Male 0-4,0.0
75,AG,1986,Male 0-4,0.0
76,AG,1987,Male 0-4,0.0
77,AG,1988,Male 0-4,0.0
78,AG,1989,Male 0-4,0.0
79,AG,1990,Male 0-4,0.0
80,AG,1991,Male 0-4,0.0
81,AG,1992,Male 0-4,0.0
82,AG,1995,Male 0-4,0.0
83,AG,1996,Male 0-4,0.0
84,AG,1997,Male 0-4,0.0
85,AG,1998,Male 0-4,0.0
86,AG,1999,Male 0-4,0.0
87,AG,2000,Male 0-4,0.0
88,AG,2001,Male 0-4,0.0
89,AG,2002,Male 0-4,0.0
90,AG,2003,Male 0-4,0.0
91,AG,2004,Male 0-4,0.0
92,AG,2005,Male 0-4,0.0
93,AG,2006,Male 0-4,0.0
94,AG,2007,Male 0-4,0.0
95,AG,2008,Male 0-4,0.0
96,AI,1980,Male 0-4,0.0
97,AI,1981,Male 0-4,0.0
98,AI,1982,Male 0-4,0.0
99,AI,1983,Male 0-4,0.0
100,AI,1984,Male 0-4,0.0
101,AI,1985,Male 0-4,0.0
102,AI,1986,Male 0-4,0.0
103,AI,1987,Male 0-4,0.0
104,AI,1988,Male 0-4,0.0
105,AI,1989,Male 0-4,0.0
106,AI,1990,Male 0-4,0.0
107,AI,1991,Male 0-4,0.0
108,AI,1992,Male 0-4,0.0
109,AI,1995,Male 0-4,0.0
110,AI,1997,Male 0-4,0.0
111,AI,2001,Male 0-4,0.0
112,AI,2002,Male 0-4,0.0
113,AI,2003,Male 0-4,0.0
114,AI,2004,Male 0-4,0.0
115,AI,2006,Male 0-4,0.0
116,AI,2007,Male 0-4,0.0
117,AI,2008,Male 0-4,0.0
118,AL,1980,Male 0-4,0.0
119,AL,1981,Male 0-4,0.0
120,AL,1982,Male 0-4,0.0
121,AL,1983,Male 0-4,0.0
122,AL,1984,Male 0-4,0.0
123,AL,1985,Male 0-4,0.0
124,AL,1986,Male 0-4,0.0
125,AL,1987,Male 0-4,0.0
126,AL,1988,Male 0-4,0.0
127,AL,1989,Male 0-4,0.0
128,AL,1990,Male 0-4,0.0
129,AL,1991,Male 0-4,0.0
130,AL,1994,Male 0-4,0.0
131,AL,1995,Male 0-4,0.0
132,AL,1996,Male 0-4,0.0
133,AL,1997,Male 0-4,0.0
134,AL,1998,Male 0-4,0.0
135,AL,1999,Male 0-4,0.0
136,AL,2000,Male 0-4,0.0
137,AL,2001,Male 0-4,0.0
138,AL,2002,Male 0-4,0.0
139,AL,2003,Male 0-4,0.0
140,AL,2004,Male 0-4,0.0
141,AL,2005,Male 0-4,0.0
142,AL,2006,Male 0-4,1.0
143,AL,2007,Male 0-4,0.0
144,AL,2008,Male 0-4,1.0
145,AM,1980,Male 0-4,0.0
146,AM,1981,Male 0-4,0.0
147,AM,1982,Male 0-4,0.0
148,AM,1983,Male 0-4,0.0
149,AM,1984,Male 0-4,0.0
150,AM,1985,Male 0-4,0.0
151,AM,1986,Male 0-4,0.0
152,AM,1987,Male 0-4,0.0
153,AM,1988,Male 0-4,0.0
154,AM,1989,Male 0-4,0.0
155,AM,1990,Male 0-4,0.0
156,AM,1991,Male 0-4,0.0
157,AM,1992,Male 0-4,0.0
158,AM,1993,Male 0-4,0.0
159,AM,1994,Male 0-4,0.0
160,AM,1995,Male 0-4,0.0
161,AM,1996,Male 0-4,0.0
162,AM,1997,Male 0-4,0.0
163,AM,1998,Male 0-4,0.0
164,AM,1999,Male 0-4,0.0
165,AM,2000,Male 0-4,0.0
166,AM,2001,Male 0-4,0.0
167,AM,2002,Male 0-4,0.0
168,AM,2003,Male 0-4,0.0
169,AM,2004,Male 0-4,0.0
170,AM,2005,Male 0-4,1.0
171,AM,2006,Male 0-4,0.0
172,AM,2007,Male 0-4,0.0
173,AM,2008,Male 0-4,0.0
174,AN,1996,Male 0-4,0.0
175,AN,1997,Male 0-4,0.0
176,AN,1998,Male 0-4,0.0
177,AN,1999,Male 0-4,0.0
178,AN,2000,Male 0-4,0.0
179,AN,2001,Male 0-4,0.0
180,AN,2002,Male 0-4,0.0
181,AN,2003,Male 0-4,0.0
182,AN,2004,Male 0-4,0.0
183,AN,2005,Male 0-4,0.0
184,AN,2006,Male 0-4,0.0
185,AN,2007,Male 0-4,0.0
186,AN,2008,Male 0-4,0.0
187,AO,1980,Male 0-4,0.0
188,AO,1981,Male 0-4,0.0
189,AO,1982,Male 0-4,0.0
190,AO,1983,Male 0-4,0.0
191,AO,1984,Male 0-4,0.0
192,AO,1985,Male 0-4,0.0
193,AO,1986,Male 0-4,0.0
194,AO,1987,Male 0-4,0.0
195,AO,1988,Male 0-4,0.0
196,AO,1989,Male 0-4,0.0
197,AO,1990,Male 0-4,0.0
198,AO,1991,Male 0-4,0.0
199,AO,1992,Male 0-4,0.0
200,AO,1993,Male 0-4,0.0
201,AO,1994,Male 0-4,0.0
202,AO,1995,Male 0-4,0.0
203,AO,1996,Male 0-4,0.0
204,AO,1997,Male 0-4,0.0
205,AO,1998,Male 0-4,0.0
206,AO,1999,Male 0-4,0.0
207,AO,2000,Male 0-4,0.0
208,AO,2001,Male 0-4,0.0
209,AO,2002,Male 0-4,0.0
210,AO,2003,Male 0-4,0.0
211,AO,2004,Male 0-4,0.0
212,AO,2005,Male 0-4,0.0
213,AO,2006,Male 0-4,0.0
214,AO,2007,Male 0-4,0.0
215,AO,2008,Male 0-4,0.0
216,AR,1980,Male 0-4,0.0
217,AR,1981,Male 0-4,0.0
218,AR,1982,Male 0-4,0.0
219,AR,1983,Male 0-4,0.0
220,AR,1984,Male 0-4,0.0
221,AR,1985,Male 0-4,0.0
222,AR,1986,Male 0-4,0.0
223,AR,1987,Male 0-4,0.0
224,AR,1988,Male 0-4,0.0
225,AR,1989,Male 0-4,0.0
226,AR,1990,Male 0-4,0.0
227,AR,1991,Male 0-4,0.0
228,AR,1992,Male 0-4,0.0
229,AR,1993,Male 0-4,0.0
230,AR,1994,Male 0-4,0.0
231,AR,1995,Male 0-4,0.0
232,AR,1996,Male 0-4,0.0
233,AR,1997,Male 0-4,0.0
234,AR,1998,Male 0-4,0.0
235,AR,1999,Male 0-4,0.0
236,AR,2000,Male 0-4,0.0
237,AR,2001,Male 0-4,0.0
238,AR,2002,Male 0-4,0.0
239,AR,2003,Male 0-4,0.0
240,AR,2004,Male 0-4,0.0
241,AR,2005,Male 0-4,0.0
242,AR,2006,Male 0-4,19.0
243,AR,2007,Male 0-4,14.0
244,AR,2008,Male 0-4,11.0
245,AS,1980,Male 0-4,0.0
246,AS,1981,Male 0-4,0.0
247,AS,1982,Male 0-4,0.0
248,AS,1983,Male 0-4,0.0
249,AS,1984,Male 0-4,0.0
250,AS,1985,Male 0-4,0.0
251,AS,1986,Male 0-4,0.0
252,AS,1987,Male 0-4,0.0
253,AS,1988,Male 0-4,0.0
254,AS,1989,Male 0-4,0.0
255,AS,1990,Male 0-4,0.0
256,AS,1991,Male 0-4,0.0
257,AS,1992,Male 0-4,0.0
258,AS,1993,Male 0-4,0.0
259,AS,1994,Male 0-4,0.0
260,AS,1995,Male 0-4,0.0
261,AS,1996,Male 0-4,0.0
262,AS,1997,Male 0-4,0.0
263,AS,1998,Male 0-4,0.0
264,AS,1999,Male 0-4,0.0
265,AS,2000,Male 0-4,0.0
266,AS,2001,Male 0-4,0.0
267,AS,2002,Male 0-4,0.0
268,AS,2003,Male 0-4,0.0
269,AS,2004,Male 0-4,0.0
270,AS,2005,Male 0-4,0.0
271,AS,2006,Male 0-4,0.0
272,AS,2007,Male 0-4,0.0
273,AS,2008,Male 0-4,0.0
274,AT,1980,Male 0-4,0.0
275,AT,1981,Male 0-4,0.0
276,AT,1982,Male 0-4,0.0
277,AT,1983,Male 0-4,0.0
278,AT,1984,Male 0-4,0.0
279,AT,1985,Male 0-4,0.0
280,AT,1986,Male 0-4,0.0
281,AT,1987,Male 0-4,0.0
282,AT,1988,Male 0-4,0.0
283,AT,1989,Male 0-4,0.0
284,AT,1990,Male 0-4,0.0
285,AT,1991,Male 0-4,0.0
286,AT,1992,Male 0-4,0.0
287,AT,1993,Male 0-4,0.0
288,AT,1994,Male 0-4,0.0
289,AT,1995,Male 0-4,0.0
290,AT,1996,Male 0-4,0.0
291,AT,1997,Male 0-4,0.0
292,AT,1998,Male 0-4,0.0
293,AT,1999,Male 0-4,0.0
294,AT,2000,Male 0-4,0.0
295,AT,2001,Male 0-4,0.0
296,AT,2002,Male 0-4,0.0
297,AT,2003,Male 0-4,0.0
298,AT,2004,Male 0-4,0.0
299,AT,2005,Male 0-4,1.0
300,AT,2006,Male 0-4,0.0
301,AT,2007,Male 0-4,0.0
302,AT,2008,Male 0-4,0.0
303,AU,1980,Male 0-4,0.0
304,AU,1981,Male 0-4,0.0
305,AU,1982,Male 0-4,0.0
306,AU,1983,Male 0-4,0.0
307,AU,1984,Male 0-4,0.0
308,AU,1985,Male 0-4,0.0
309,AU,1986,Male 0-4,0.0
310,AU,1987,Male 0-4,0.0
311,AU,1988,Male 0-4,0.0
312,AU,1989,Male 0-4,0.0
313,AU,1990,Male 0-4,0.0
314,AU,1991,Male 0-4,0.0
315,AU,1992,Male 0-4,0.0
316,AU,1993,Male 0-4,0.0
317,AU,1994,Male 0-4,0.0
318,AU,1995,Male 0-4,0.0
319,AU,1996,Male 0-4,0.0
320,AU,1997,Male 0-4,0.0
321,AU,1998,Male 0-4,0.0
322,AU,1999,Male 0-4,0.0
323,AU,2000,Male 0-4,0.0
324,AU,2001,Male 0-4,0.0
325,AU,2002,Male 0-4,0.0
326,AU,2003,Male 0-4,0.0
327,AU,2004,Male 0-4,0.0
328,AU,2005,Male 0-4,0.0
329,AU,2006,Male 0-4,1.0
330,AU,2007,Male 0-4,0.0
331,AU,2008,Male 0-4,0.0
332,AZ,1980,Male 0-4,0.0
333,AZ,1981,Male 0-4,0.0
334,AZ,1982,Male 0-4,0.0
335,AZ,1983,Male 0-4,0.0
336,AZ,1984,Male 0-4,0.0
337,AZ,1985,Male 0-4,0.0
338,AZ,1986,Male 0-4,0.0
339,AZ,1987,Male 0-4,0.0
340,AZ,1988,Male 0-4,0.0
341,AZ,1989,Male 0-4,0.0
342,AZ,1990,Male 0-4,0.0
343,AZ,1991,Male 0-4,0.0
344,AZ,1992,Male 0-4,0.0
345,AZ,1993,Male 0-4,0.0
346,AZ,1994,Male 0-4,0.0
347,AZ,1995,Male 0-4,0.0
348,AZ,1996,Male 0-4,0.0
349,AZ,1997,Male 0-4,0.0
350,AZ,1998,Male 0-4,0.0
351,AZ,1999,Male 0-4,0.0
352,AZ,2000,Male 0-4,0.0
353,AZ,2001,Male 0-4,0.0
354,AZ,2002,Male 0-4,0.0
355,AZ,2003,Male 0-4,0.0
356,AZ,2004,Male 0-4,0.0
357,AZ,2005,Male 0-4,2.0
358,AZ,2006,Male 0-4,1.0
359,AZ,2007,Male 0-4,0.0
360,AZ,2008,Male 0-4,0.0
361,BA,1980,Male 0-4,0.0
362,BA,1981,Male 0-4,0.0
363,BA,1982,Male 0-4,0.0
364,BA,1983,Male 0-4,0.0
365,BA,1984,Male 0-4,0.0
366,BA,1985,Male 0-4,0.0
367,BA,1986,Male 0-4,0.0
368,BA,1987,Male 0-4,0.0
369,BA,1988,Male 0-4,0.0
370,BA,1989,Male 0-4,0.0
371,BA,1990,Male 0-4,0.0
372,BA,1991,Male 0-4,0.0
373,BA,1992,Male 0-4,0.0
374,BA,1993,Male 0-4,0.0
375,BA,1994,Male 0-4,0.0
376,BA,1995,Male 0-4,0.0
377,BA,1996,Male 0-4,0.0
378,BA,1997,Male 0-4,0.0
379,BA,1998,Male 0-4,0.0
380,BA,1999,Male 0-4,0.0
381,BA,2000,Male 0-4,0.0
382,BA,2001,Male 0-4,0.0
383,BA,2002,Male 0-4,0.0
384,BA,2003,Male 0-4,0.0
385,BA,2004,Male 0-4,0.0
386,BA,2005,Male 0-4,0.0
387,BA,2006,Male 0-4,0.0
388,BA,2007,Male 0-4,0.0
389,BA,2008,Male 0-4,0.0
390,BB,1980,Male 0-4,0.0
391,BB,1981,Male 0-4,0.0
392,BB,1982,Male 0-4,0.0
393,BB,1983,Male 0-4,0.0
394,BB,1984,Male 0-4,0.0
395,BB,1985,Male 0-4,0.0
396,BB,1986,Male 0-4,0.0
397,BB,1987,Male 0-4,0.0
398,BB,1988,Male 0-4,0.0
399,BB,1989,Male 0-4,0.0
400,BB,1990,Male 0-4,0.0
401,BB,1991,Male 0-4,0.0
402,BB,1992,Male 0-4,0.0
403,BB,1995,Male 0-4,0.0
404,BB,1996,Male 0-4,0.0
405,BB,1997,Male 0-4,0.0
406,BB,1998,Male 0-4,0.0
407,BB,1999,Male 0-4,0.0
408,BB,2000,Male 0-4,0.0
409,BB,2001,Male 0-4,0.0
410,BB,2002,Male 0-4,0.0
411,BB,2003,Male 0-4,0.0
412,BB,2004,Male 0-4,0.0
413,BB,2005,Male 0-4,0.0
414,BB,2006,Male 0-4,0.0
415,BB,2007,Male 0-4,0.0
416,BB,2008,Male 0-4,0.0
417,BD,1980,Male 0-4,0.0
418,BD,1981,Male 0-4,0.0
419,BD,1982,Male 0-4,0.0
420,BD,1983,Male 0-4,0.0
421,BD,1984,Male 0-4,0.0
422,BD,1985,Male 0-4,0.0
423,BD,1986,Male 0-4,0.0
424,BD,1987,Male 0-4,0.0
425,BD,1988,Male 0-4,0.0
426,BD,1989,Male 0-4,0.0
427,BD,1990,Male 0-4,0.0
428,BD,1991,Male 0-4,0.0
429,BD,1992,Male 0-4,0.0
430,BD,1993,Male 0-4,0.0
431,BD,1994,Male 0-4,0.0
432,BD,1995,Male 0-4,0.0
433,BD,1996,Male 0-4,0.0
434,BD,1997,Male 0-4,0.0
435,BD,1998,Male 0-4,0.0
436,BD,1999,Male 0-4,0.0
437,BD,2000,Male 0-4,0.0
438,BD,2001,Male 0-4,0.0
439,BD,2002,Male 0-4,0.0
440,BD,2003,Male 0-4,0.0
441,BD,2004,Male 0-4,0.0
442,BD,2005,Male 0-4,0.0
443,BD,2006,Male 0-4,0.0
444,BD,2007,Male 0-4,0.0
445,BD,2008,Male 0-4,0.0
446,BE,1980,Male 0-4,0.0
447,BE,1981,Male 0-4,0.0
448,BE,1982,Male 0-4,0.0
449,BE,1983,Male 0-4,0.0
450,BE,1984,Male 0-4,0.0
451,BE,1985,Male 0-4,0.0
452,BE,1986,Male 0-4,0.0
453,BE,1987,Male 0-4,0.0
454,BE,1988,Male 0-4,0.0
455,BE,1989,Male 0-4,0.0
456,BE,1990,Male 0-4,0.0
457,BE,1991,Male 0-4,0.0
458,BE,1992,Male 0-4,0.0
459,BE,1993,Male 0-4,0.0
460,BE,1994,Male 0-4,0.0
461,BE,1995,Male 0-4,0.0
462,BE,1996,Male 0-4,0.0
463,BE,1997,Male 0-4,0.0
464,BE,1998,Male 0-4,0.0
465,BE,1999,Male 0-4,0.0
466,BE,2000,Male 0-4,0.0
467,BE,2001,Male 0-4,0.0
468,BE,2002,Male 0-4,0.0
469,BE,2003,Male 0-4,0.0
470,BE,2004,Male 0-4,0.0
471,BE,2005,Male 0-4,1.0
472,BE,2006,Male 0-4,3.0
473,BE,2007,Male 0-4,1.0
474,BE,2008,Male 0-4,2.0
475,BF,1980,Male 0-4,0.0
476,BF,1981,Male 0-4,0.0
477,BF,1982,Male 0-4,0.0
478,BF,1983,Male 0-4,0.0
479,BF,1984,Male 0-4,0.0
480,BF,1985,Male 0-4,0.0
481,BF,1986,Male 0-4,0.0
482,BF,1987,Male 0-4,0.0
483,BF,1988,Male 0-4,0.0
484,BF,1989,Male 0-4,0.0
485,BF,1990,Male 0-4,0.0
486,BF,1991,Male 0-4,0.0
487,BF,1993,Male 0-4,0.0
488,BF,1994,Male 0-4,0.0
489,BF,1995,Male 0-4,0.0
490,BF,1996,Male 0-4,0.0
491,BF,1997,Male 0-4,0.0
492,BF,1998,Male 0-4,0.0
493,BF,1999,Male 0-4,0.0
494,BF,2000,Male 0-4,0.0
495,BF,2001,Male 0-4,0.0
496,BF,2002,Male 0-4,0.0
497,BF,2003,Male 0-4,0.0
498,BF,2004,Male 0-4,0.0
499,BF,2005,Male 0-4,0.0
500,BF,2006,Male 0-4,0.0
501,BF,2007,Male 0-4,2.0
502,BF,2008,Male 0-4,0.0
503,BG,1980,Male 0-4,0.0
504,BG,1981,Male 0-4,0.0
505,BG,1982,Male 0-4,0.0
506,BG,1983,Male 0-4,0.0
507,BG,1984,Male 0-4,0.0
508,BG,1985,Male 0-4,0.0
509,BG,1986,Male 0-4,0.0
510,BG,1987,Male 0-4,0.0
511,BG,1988,Male 0-4,0.0
512,BG,1989,Male 0-4,0.0
513,BG,1990,Male 0-4,0.0
514,BG,1991,Male 0-4,0.0
515,BG,1992,Male 0-4,0.0
516,BG,1993,Male 0-4,0.0
517,BG,1994,Male 0-4,0.0
518,BG,1995,Male 0-4,0.0
519,BG,1996,Male 0-4,0.0
520,BG,1997,Male 0-4,0.0
521,BG,1998,Male 0-4,0.0
522,BG,1999,Male 0-4,0.0
523,BG,2000,Male 0-4,0.0
524,BG,2001,Male 0-4,0.0
525,BG,2002,Male 0-4,0.0
526,BG,2003,Male 0-4,0.0
527,BG,2004,Male 0-4,0.0
528,BG,2005,Male 0-4,0.0
529,BG,2006,Male 0-4,0.0
530,BG,2007,Male 0-4,2.0
531,BG,2008,Male 0-4,1.0
532,BH,1980,Male 0-4,0.0
533,BH,1981,Male 0-4,0.0
534,BH,1982,Male 0-4,0.0
535,BH,1983,Male 0-4,0.0
536,BH,1984,Male 0-4,0.0
537,BH,1985,Male 0-4,0.0
538,BH,1986,Male 0-4,0.0
539,BH,1987,Male 0-4,0.0
540,BH,1988,Male 0-4,0.0
541,BH,1989,Male 0-4,0.0
542,BH,1990,Male 0-4,0.0
543,BH,1991,Male 0-4,0.0
544,BH,1992,Male 0-4,0.0
545,BH,1993,Male 0-4,0.0
546,BH,1995,Male 0-4,0.0
547,BH,1996,Male 0-4,0.0
548,BH,1997,Male 0-4,0.0
549,BH,1998,Male 0-4,0.0
550,BH,1999,Male 0-4,0.0
551,BH,2000,Male 0-4,0.0
552,BH,2001,Male 0-4,0.0
553,BH,2002,Male 0-4,0.0
554,BH,2003,Male 0-4,0.0
555,BH,2004,Male 0-4,0.0
556,BH,2005,Male 0-4,0.0
557,BH,2006,Male 0-4,0.0
558,BH,2007,Male 0-4,0.0
559,BH,2008,Male 0-4,0.0
560,BI,1980,Male 0-4,0.0
561,BI,1981,Male 0-4,0.0
562,BI,1982,Male 0-4,0.0
563,BI,1983,Male 0-4,0.0
564,BI,1984,Male 0-4,0.0
565,BI,1985,Male 0-4,0.0
566,BI,1986,Male 0-4,0.0
567,BI,1987,Male 0-4,0.0
568,BI,1988,Male 0-4,0.0
569,BI,1989,Male 0-4,0.0
570,BI,1990,Male 0-4,0.0
571,BI,1991,Male 0-4,0.0
572,BI,1992,Male 0-4,0.0
573,BI,1993,Male 0-4,0.0
574,BI,1994,Male 0-4,0.0
575,BI,1995,Male 0-4,0.0
576,BI,1996,Male 0-4,0.0
577,BI,1997,Male 0-4,0.0
578,BI,1998,Male 0-4,0.0
579,BI,1999,Male 0-4,0.0
580,BI,2000,Male 0-4,0.0
581,BI,2001,Male 0-4,0.0
582,BI,2002,Male 0-4,0.0
583,BI,2003,Male 0-4,0.0
584,BI,2004,Male 0-4,0.0
585,BI,2005,Male 0-4,0.0
586,BI,2006,Male 0-4,0.0
587,BI,2007,Male 0-4,0.0
588,BI,2008,Male 0-4,0.0
589,BJ,1980,Male 0-4,0.0
590,BJ,1981,Male 0-4,0.0
591,BJ,1982,Male 0-4,0.0
592,BJ,1983,Male 0-4,0.0
593,BJ,1984,Male 0-4,0.0
594,BJ,1985,Male 0-4,0.0
595,BJ,1986,Male 0-4,0.0
596,BJ,1987,Male 0-4,0.0
597,BJ,1988,Male 0-4,0.0
598,BJ,1989,Male 0-4,0.0
599,BJ,1990,Male 0-4,0.0
600,BJ,1991,Male 0-4,0.0
601,BJ,1992,Male 0-4,0.0
602,BJ,1993,Male 0-4,0.0
603,BJ,1994,Male 0-4,0.0
604,BJ,1995,Male 0-4,0.0
605,BJ,1996,Male 0-4,0.0
606,BJ,1997,Male 0-4,0.0
607,BJ,1998,Male 0-4,0.0
608,BJ,1999,Male 0-4,0.0
609,BJ,2000,Male 0-4,0.0
610,BJ,2001,Male 0-4,0.0
611,BJ,2002,Male 0-4,0.0
612,BJ,2003,Male 0-4,0.0
613,BJ,2004,Male 0-4,0.0
614,BJ,2005,Male 0-4,0.0
615,BJ,2006,Male 0-4,0.0
616,BJ,2007,Male 0-4,0.0
617,BJ,2008,Male 0-4,0.0
618,BM,1980,Male 0-4,0.0
619,BM,1981,Male 0-4,0.0
620,BM,1982,Male 0-4,0.0
621,BM,1983,Male 0-4,0.0
622,BM,1984,Male 0-4,0.0
623,BM,1985,Male 0-4,0.0
624,BM,1986,Male 0-4,0.0
625,BM,1987,Male 0-4,0.0
626,BM,1988,Male 0-4,0.0
627,BM,1989,Male 0-4,0.0
628,BM,1990,Male 0-4,0.0
629,BM,1991,Male 0-4,0.0
630,BM,1992,Male 0-4,0.0
631,BM,1995,Male 0-4,0.0
632,BM,1996,Male 0-4,0.0
633,BM,1997,Male 0-4,0.0
634,BM,1998,Male 0-4,0.0
635,BM,1999,Male 0-4,0.0
